Year	State	County	FIPS	Commodity	Product	Volume
2007	ID	Caribou County	16029		Phosphate Raw Ore (tons)	2324385
2006	ID	Caribou County	16029		Phosphate Raw Ore (tons)	2381392
2008	ID	Caribou County	16029		Phosphate Raw Ore (tons)	2424258
2005	ID	Caribou County	16029		Phosphate Raw Ore (tons)	2621832
2009	ID	Caribou County	16029		Phosphate Raw Ore (tons)	3423741
2010	ID	Caribou County	16029		Phosphate Raw Ore (tons)	3523585
2012	ID	Caribou County	16029		Phosphate Raw Ore (tons)	4467766
2011	ID	Caribou County	16029		Phosphate Raw Ore (tons)	4690032
2013	ID	Caribou County	16029		Phosphate Raw Ore (tons)	4960123
2014	ID	Caribou County	16029		Phosphate Raw Ore (tons)	5777094
2005	ID	Clearwater County	16035		Gold (ounces)	W
2006	ID	Clearwater County	16035		Gold (ounces)	W
2007	ID	Clearwater County	16035		Gold (ounces)	W
2008	ID	Clearwater County	16035		Gold (ounces)	W
2009	ID	Clearwater County	16035		Gold (ounces)	W
2011	ID	Clearwater County	16035		Gold (ounces)	W
2013	ID	Clearwater County	16035		Silver (ounces)	W
