Land Category	CY	Offshore Region	Offshore Planning Area	BOEM Block Name	BOEM Protraction	Revenue Type	Mineral Lease Type	Commodity	Product	Total			
Fed Offshore	2006	Alaska	Beaufort Sea			Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$29,579.83 			
Fed Offshore	2006	Alaska	Beaufort Sea			Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$1,877,683.25 			
Fed Offshore	2006	Alaska	Beaufort Sea			Royalties	Oil & Gas	Oil	Oil	$40,580,284.16 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Lund	NG16-04	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$446,976.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area, South Addition	LA8A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$607,000.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$1,025,950.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pass Area	LA9	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$1,098,781.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$1,504,970.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Viosca Knoll	NH16-07	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$1,651,785.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area, South Addition	LA5A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$1,768,471.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$1,983,336.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Vermilion Area, South Addition	LA3B	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$2,032,771.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$2,143,762.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$2,346,845.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area	LA8	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$2,543,350.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area, South Addition	LA1B	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$3,109,418.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, South Addition	LA3C	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$3,228,195.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier Area	LA6	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$4,498,855.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$6,587,169.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area, West Addition	LA1A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$6,780,409.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$6,971,325.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$7,579,453.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$7,731,279.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$8,473,900.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$10,607,358.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area	LA3A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$11,773,599.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$13,530,213.00 			
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$14,518,198.00 			
