Year	Commodity	Volume	County	State	Product
2004		197217		WV	Natural Gas (MMcf)
2005		221108		WV	Natural Gas (MMcf)
2006		225530		WV	Natural Gas (MMcf)
2007		231184		WV	Natural Gas (MMcf)
2008		244880		WV	Natural Gas (MMcf)
2009		264436		WV	Natural Gas (MMcf)
2010		265174		WV	Natural Gas (MMcf)
2011		394125		WV	Natural Gas (MMcf)
2012		539860		WV	Natural Gas (MMcf)
2013		741853		WV	Natural Gas (MMcf)
2004		1735000		WV	Crude Oil (bbl)
2005		1696000		WV	Crude Oil (bbl)
2006		1726000		WV	Crude Oil (bbl)
2007		1992000		WV	Crude Oil (bbl)
2008		2126000		WV	Crude Oil (bbl)
2009		1501000		WV	Crude Oil (bbl)
2010		1842000		WV	Crude Oil (bbl)
2011		2146000		WV	Crude Oil (bbl)
2012		2573000		WV	Crude Oil (bbl)
2013		7564000		WV	Crude Oil (bbl)
2004		1318000		WV	Conventional Hydroelectric (Mwh)
2005		1448000		WV	Conventional Hydroelectric (Mwh)
2006		1572000		WV	Conventional Hydroelectric (Mwh)
2007		1254000		WV	Conventional Hydroelectric (Mwh)
2008		1248000		WV	Conventional Hydroelectric (Mwh)
2009		1646000		WV	Conventional Hydroelectric (Mwh)
2010		1367000		WV	Conventional Hydroelectric (Mwh)
2011		1453000		WV	Conventional Hydroelectric (Mwh)
2012		1431000		WV	Conventional Hydroelectric (Mwh)
2013		1739000		WV	Conventional Hydroelectric (Mwh)
2004		163000		WV	Other Renewables (Mwh)
2005		155000		WV	Other Renewables (Mwh)
2006		174000		WV	Other Renewables (Mwh)
2007		168000		WV	Other Renewables (Mwh)
2008		392000		WV	Other Renewables (Mwh)
2009		742000		WV	Other Renewables (Mwh)
2010		939000		WV	Other Renewables (Mwh)
2011		1112000		WV	Other Renewables (Mwh)
2012		1297000		WV	Other Renewables (Mwh)
2013		1391000		WV	Other Renewables (Mwh)
2004		161000		WV	Wind (Mwh)
2005		154000		WV	Wind (Mwh)
2006		174000		WV	Wind (Mwh)
2007		168000		WV	Wind (Mwh)
2008		392000		WV	Wind (Mwh)
