Year	Region	Commodity	Volume	County	Product
2004	AK		3644084		Natural Gas (MMcf)
2004	AR		187310		Natural Gas (MMcf)
2004	CA		294172		Natural Gas (MMcf)
2004	pacific		54655		Natural Gas (MMcf)
2004	CO		1089622		Natural Gas (MMcf)
2004	gulf		4000685		Natural Gas (MMcf)
2004	KS		398197		Natural Gas (MMcf)
2004	LA		1377295		Natural Gas (MMcf)
2004	MT		97838		Natural Gas (MMcf)
2004	NM		1644738		Natural Gas (MMcf)
2004	ND		57333		Natural Gas (MMcf)
2004	OH		90476		Natural Gas (MMcf)
2004	OK		1655769		Natural Gas (MMcf)
2004	PA		197217		Natural Gas (MMcf)
2004	TX		5733918		Natural Gas (MMcf)
2004	UT		290586		Natural Gas (MMcf)
2004	WV		197217		Natural Gas (MMcf)
2004	WY		1929040		Natural Gas (MMcf)
2005	AK		3642948		Natural Gas (MMcf)
2005	AR		190774		Natural Gas (MMcf)
2005	CA		297956		Natural Gas (MMcf)
2005	pacific		54088		Natural Gas (MMcf)
2005	CO		1143985		Natural Gas (MMcf)
2005	gulf		3150818		Natural Gas (MMcf)
2005	KS		378250		Natural Gas (MMcf)
2005	LA		1309913		Natural Gas (MMcf)
2005	MT		108555		Natural Gas (MMcf)
2005	NM		1656850		Natural Gas (MMcf)
2005	ND		55904		Natural Gas (MMcf)
2005	OH		83523		Natural Gas (MMcf)
2005	OK		1639310		Natural Gas (MMcf)
2005	PA		168501		Natural Gas (MMcf)
2005	TX		6006837		Natural Gas (MMcf)
2005	UT		311994		Natural Gas (MMcf)
2005	WV		221108		Natural Gas (MMcf)
2005	WY		2003826		Natural Gas (MMcf)
2006	AK		3205751		Natural Gas (MMcf)
2006	AR		270744		Natural Gas (MMcf)
2006	CA		308730		Natural Gas (MMcf)
2006	pacific		40407		Natural Gas (MMcf)
2006	CO		1214396		Natural Gas (MMcf)
2006	gulf		2914131		Natural Gas (MMcf)
2006	KS		372029		Natural Gas (MMcf)
2006	LA		1378238		Natural Gas (MMcf)
2006	MT		114037		Natural Gas (MMcf)
2006	NM		1619528		Natural Gas (MMcf)
2006	ND		62786		Natural Gas (MMcf)
2006	OH		86315		Natural Gas (MMcf)
2006	OK		1688985		Natural Gas (MMcf)
2006	PA		175950		Natural Gas (MMcf)
2006	TX		6326433		Natural Gas (MMcf)
2006	UT		356321		Natural Gas (MMcf)
2006	WV		225530		Natural Gas (MMcf)
2006	WY		2111766		Natural Gas (MMcf)
2007	AK		3479290		Natural Gas (MMcf)
2007	AR		270414		Natural Gas (MMcf)
2007	CA		293873		Natural Gas (MMcf)
2007	pacific		45516		Natural Gas (MMcf)
2007	CO		1254529		Natural Gas (MMcf)
2007	gulf		2813197		Natural Gas (MMcf)
2007	KS		366859		Natural Gas (MMcf)
2007	LA		1382828		Natural Gas (MMcf)
2007	MT		120575		Natural Gas (MMcf)
2007	NM		1555450		Natural Gas (MMcf)
2007	ND		70797		Natural Gas (MMcf)
2007	OH		88095		Natural Gas (MMcf)
2007	OK		1783682		Natural Gas (MMcf)
2007	PA		182277		Natural Gas (MMcf)
2007	TX		6960858		Natural Gas (MMcf)
2007	UT		385361		Natural Gas (MMcf)
2007	WV		231184		Natural Gas (MMcf)
2007	WY		2257884		Natural Gas (MMcf)
2008	AK		3415884		Natural Gas (MMcf)
2008	AR		447082		Natural Gas (MMcf)
2008	CA		288117		Natural Gas (MMcf)
2008	pacific		44902		Natural Gas (MMcf)
2008	CO		1402845		Natural Gas (MMcf)
2008	gulf		2329955		Natural Gas (MMcf)
2008	KS		375314		Natural Gas (MMcf)
2008	LA		1387722		Natural Gas (MMcf)
2008	MT		119399		Natural Gas (MMcf)
2008	NM		1487123		Natural Gas (MMcf)
2008	ND		87188		Natural Gas (MMcf)
2008	OH		84858		Natural Gas (MMcf)
2008	OK		1886710		Natural Gas (MMcf)
2008	PA		198295		Natural Gas (MMcf)
2008	TX		7800655		Natural Gas (MMcf)
2008	UT		441598		Natural Gas (MMcf)
2008	WV		244880		Natural Gas (MMcf)
2008	WY		2488267		Natural Gas (MMcf)
2009	AK		3312386		Natural Gas (MMcf)
2009	AR		680613		Natural Gas (MMcf)
2009	CA		265034		Natural Gas (MMcf)
2009	pacific		41229		Natural Gas (MMcf)
2009	CO		1511654		Natural Gas (MMcf)
2009	gulf		2444102		Natural Gas (MMcf)
2009	KS		355394		Natural Gas (MMcf)
2009	LA		1558638		Natural Gas (MMcf)
2009	MT		105251		Natural Gas (MMcf)
2009	NM		1425222		Natural Gas (MMcf)
2009	ND		92489		Natural Gas (MMcf)
2009	OH		88824		Natural Gas (MMcf)
2009	OK		1901556		Natural Gas (MMcf)
2009	PA		273869		Natural Gas (MMcf)
2009	TX		7653647		Natural Gas (MMcf)
