Year	State	Commodity	Type	Revenue
2004	AK	Oil & Gas	Other Revenues	10052.54
2004	AK	Gas	Other Royalties	224935.2
2004	AK	Oil & Gas	Other Royalties	265932.36
2004	AK	Oil & Gas	Rents	8894470.54
2004	AK	Gas	Royalties	10403406.959999999
2004	AK	NGL	Royalties	371339.82
2004	AK	Oil	Royalties	944070.81
2004	AK	Oil & Gas	Bonus	53904491
2004	AK	Coal	Rents	2560
2004	AL	Oil & Gas	Other Revenues	-49.160000000000004
2004	AL	Oil & Gas	Other Royalties	19401
2004	AL	Gas	Royalties	524443.03
2004	AL	NGL	Royalties	0.32
2004	AL	Oil	Royalties	823485.59
2004	AL	Sulfur	Royalties	704.13
2004	AL	Oil & Gas	Bonus	164678
2004	AL	Oil & Gas	Rents	32873.5
2004	AL	Coal	Rents	4826.52
2004	AR	Gas	Royalties	3884705.4800000004
2004	AR	Oil	Royalties	243.1
2004	AR	Oil & Gas	Bonus	618180
2004	AR	Oil & Gas	Rents	1241687.5
2004	AR	Oil & Gas	Other Revenues	5137.33
2004	AR	Oil & Gas	Other Royalties	94204.45
2004	AR	Hardrock	Other Revenues	2121.5
2004	AR	Hardrock	Rents	-414.33000000000004
2004	AR	Quartz	Rents	20
2004	AZ	Oil & Gas	Rents	100248.5
2004	AZ	Sodium	Other Revenues	36
2004	AZ	Sodium	Rents	4
2004	AZ	Salt	Royalties	118.84999999999997
2004	CA	Oil & Gas	Other Royalties	10677.6
2004	CA	Oil & Gas	Rents	428225.51000000007
2004	CA	Gas	Royalties	4212311.85
2004	CA	Oil & Gas	Other Revenues	31517.739999999998
2004	CA	NGL	Royalties	95701.32
2004	CA	Oil	Royalties	23214441.580000002
2004	CA	Geothermal	Other Royalties	7484696.97
2004	CA	Geothermal	Rents	227815
2004	CA	Geothermal	Royalties	9861963.530000001
2004	CA	Oil & Gas	Bonus	67720.5
2004	CA	Geothermal	Other Revenues	8320
2004	CA	Anhydrous Sodium Sulfate	Royalties	191938.19999999998
2004	CA	Borax-Anhydrous	Royalties	30980.53
2004	CA	Borax-Decahydrate	Royalties	109756.82
2004	CA	Borax-Pentahydrate	Royalties	100538.20999999999
2004	CA	Boric Acid	Royalties	300944.94999999995
2004	CA	Boric Oxide	Royalties	-328.08
2004	CA	Salt-Waste	Royalties	-52.69
2004	CA	Soda Ash-Granular	Royalties	260287.46
2004	CO	Oil & Gas	Rents	5798644.45
2004	CO	Oil & Gas	Other Revenues	293253.52
2004	CO	Oil	Royalties	17792465.36
2004	CO	Oil & Gas	Other Royalties	3840304.4900000007
2004	CO	Gas	Royalties	82988954.55000006
2004	CO	Oil & Gas	Bonus	10799416.999999998
2004	CO	NGL	Royalties	2204205.96
2004	CO	Coal	Bonus	6107928.58
2004	CO	Coal	Rents	240192.41
2004	CO	Carbon Dioxide Gas	Royalties	13124605.98
2004	CO	Coal	Royalties	36126311.089999996
2004	CO	Sodium	Other Revenues	93390.28
2004	CO	Sodium	Rents	1349.73
2004	CO	Soda Ash-Granular	Royalties	-127123.91
2004	CO	Sodium Bicarbonate Animal Feed	Royalties	-28843.19
2004	FL	Phosphate	Other Revenues	2248
2004	FL	Phosphate	Rents	-884
2004	FL	Phosphate Raw Ore	Royalties	-0.01999999999679858
2004	FL	Oil & Gas	Rents	8080.5
2004	FL	Oil	Royalties	1935.55
2004	ID	Oil & Gas	Rents	7605.5
2004	ID	Phosphate	Other Revenues	127954
2004	ID	Geothermal	Rents	2467
2004	ID	Phosphate	Rents	-11165.5
2004	ID	Gold	Rents	39
2004	ID	Phosphate	Bonus	563300
2004	ID	Hardrock	Rents	42
2004	ID	Gemstones	Rents	80
2004	IL	Oil	Royalties	174744.57
2004	IL	Oil & Gas	Other Revenues	44
2004	IL	Hardrock	Other Revenues	-549
2004	IL	Hardrock	Rents	183
2004	KS	Oil & Gas	Rents	40949.50000000001
2004	KS	Oil & Gas	Bonus	7640
2004	KS	Gas	Royalties	6924749.18
2004	KS	Oil & Gas	Other Revenues	-3265.06
2004	KS	Gas	Other Royalties	754.8299999999999
2004	KS	Oil & Gas	Other Royalties	23561.78
2004	KS	NGL	Royalties	278925.83999999997
2004	KS	Oil	Royalties	468286.81
2004	KS	Helium	Royalties	57.39
2004	KY	Oil & Gas	Rents	10638
2004	KY	Gas	Royalties	81428.39
2004	KY	Oil & Gas	Bonus	11356
2004	KY	Coal	Other Revenues	12000
2004	KY	Oil	Royalties	6302.16
2004	KY	Oil & Gas	Other Revenues	26862.309999999998
2004	KY	Coal	Rents	-2004
2004	LA	Oil & Gas	Rents	76692.86
2004	LA	Gas	Royalties	10698126.469999997
2004	LA	NGL	Royalties	326755.2
2004	LA	Oil	Royalties	1817085.4399999992
2004	LA	Oil & Gas	Bonus	23622
2004	LA	Oil & Gas	Other Royalties	-144922.3
2004	LA	Oil & Gas	Other Revenues	2914.09
2004	MD	Oil & Gas	Other Revenues	10279.77
2004	MD	Oil & Gas	Other Royalties	-730.5
2004	MD	Oil & Gas	Rents	992
2004	MI	Oil & Gas	Rents	44825
2004	MI	Gas	Royalties	1533836.84
2004	MI	Oil	Royalties	95883.3
2004	MI	Oil & Gas	Bonus	5600
2004	MI	Hardrock	Rents	-293.5
2004	MI	Oil & Gas	Other Revenues	814.46
2004	MI	Oil & Gas	Other Royalties	67
2004	MI	NGL	Royalties	24138.449999999997
2004	MN	Copper	Other Revenues	13055
2004	MN	Hardrock	Other Revenues	11275
2004	MN	Copper	Rents	667.5
2004	MN	Hardrock	Rents	12932.5
2004	MO	Hardrock	Other Revenues	167074.97
2004	MO	Hardrock	Rents	10677.7
2004	MS	Oil & Gas	Rents	467733.71
2004	MS	Oil	Royalties	1618373.24
2004	MS	Oil & Gas	Bonus	318659
2004	MS	Gas	Royalties	336778.53
2004	MS	Oil & Gas	Other Royalties	3400
2004	MS	Oil & Gas	Other Revenues	483
2004	MS	NGL	Royalties	331.37
2004	MT	Oil & Gas	Rents	4096925.41
2004	MT	Coal	Bonus	359342.51
2004	MT	Oil & Gas	Other Revenues	270212.94000000006
2004	MT	Coal	Other Royalties	75000
2004	MT	Coal	Rents	106680.33
2004	MT	Coal	Royalties	33178124.47
2004	MT	Gas	Royalties	12338549.530000005
2004	MT	Oil & Gas	Bonus	768127.75
2004	MT	Oil & Gas	Other Royalties	77703.90999999999
2004	MT	Oil	Royalties	14214882.370000005
2004	MT	NGL	Royalties	236811.54
2004	MT	Sulfur	Royalties	986.36
2004	MT	Gemstones	Rents	240
2004	MT	Hardrock	Rents	118.5
2004	NC	Hardrock	Other Revenues	474
2004	ND	Oil & Gas	Bonus	2908119.25
2004	ND	Oil & Gas	Other Revenues	13529.49
2004	ND	Oil & Gas	Other Royalties	568219.27
2004	ND	Oil & Gas	Rents	745047.5
2004	ND	Gas	Royalties	3521338.78
2004	ND	NGL	Royalties	312712.80000000005
2004	ND	Oil	Royalties	22801616.539999995
2004	ND	Sulfur	Royalties	298.7
2004	ND	Coal	Bonus	10856
2004	ND	Coal	Rents	17571
2004	ND	Coal	Royalties	475544.13
2004	NE	Oil & Gas	Rents	14794
2004	NE	Oil & Gas	Other Revenues	15234.24
2004	NE	Oil	Royalties	147230.67
2004	NM	Oil & Gas	Rents	3214612.9499999997
2004	NM	Gas	Royalties	514157856.52000004
2004	NM	Oil & Gas	Bonus	45099624
2004	NM	Oil & Gas	Other Revenues	549506.9500000001
2004	NM	Oil & Gas	Other Royalties	7603640.02
2004	NM	NGL	Royalties	76809845.6
2004	NM	Oil	Royalties	108949240.03000002
2004	NM	Potassium	Other Revenues	153809
