Year	State	County	FIPS	Resource	Revenue
2004	WY	Albany	56001	oilgas	189747.51
2004	WY	Big Horn	56003	oilgas	6575664.26
2004	WY	Campbell	56005	coal	441546216.76
2004	WY	Campbell	56005	oilgas	73334647.03
2004	WY	Carbon	56007	oilgas	40817924.33
2004	WY	Carbon	56007	coal	170517.55
2004	WY	Converse	56009	coal	25104858.47
2004	WY	Converse	56009	oilgas	12029865.15
2004	WY	Crook	56011	oilgas	3176174.71
2004	WY	Fremont	56013	oilgas	51061459.83
2004	WY	Fremont	56013	minerals	16721.27
2004	WY	Goshen	56015	oilgas	17186.51
2004	WY	Hot Springs	56017	oilgas	8250184.51
2004	WY	Johnson	56019	oilgas	9873761.68
2004	WY	Laramie	56021	oilgas	67682.95
2004	WY	Lincoln	56023	oilgas	39955604.13
2004	WY	Lincoln	56023	minerals	2141.72
2004	WY	Lincoln	56023	coal	3906474.02
2004	WY	Natrona	56025	oilgas	39396788.04
2004	WY	Niobrara	56027	oilgas	1819771.68
2004	WY	Park	56029	oilgas	21072637.99
2004	WY	Park	56029	minerals	3343.24
2004	WY	Platte	56031	oilgas	5199.99
2004	WY	Sheridan	56033	oilgas	2316035.61
2004	WY	Sublette	56035	oilgas	325326190.53
2004	WY	Sublette	56035	other	73700.87
2004	WY	Sublette	56035	minerals	33409.24
2004	WY	Sweetwater	56037	coal	7751955.10
2004	WY	Sweetwater	56037	oilgas	87665529.74
2004	WY	Sweetwater	56037	minerals	-317184.03
2004	WY	Sweetwater	56037	other	6405788.60
2004	WY	Uinta	56041	oilgas	22839554.90
2004	WY	Uinta	56041	minerals	2184.92
2004	WY	Washakie	56043	oilgas	3121242.73
2004	WY	Weston	56045	oilgas	1613585.27
2004	WY	Weston	56045	minerals	320.00
2005	WY	Albany	56001	oilgas	191806.55
2005	WY	Big Horn	56003	oilgas	10026143.66
2005	WY	Campbell	56005	coal	706845925.45
2005	WY	Campbell	56005	oilgas	97902963.87
2005	WY	Carbon	56007	oilgas	61535462.97
2005	WY	Carbon	56007	coal	117669.60
2005	WY	Converse	56009	coal	52095916.42
2005	WY	Converse	56009	oilgas	15342422.97
2005	WY	Crook	56011	oilgas	3943628.57
2005	WY	Fremont	56013	oilgas	85326968.33
